position,tuple,winProbability
front,"[9, 14, 13]",99.9
front,"[9, 14, 5]",99.9
front,"[9, 13, 12]",99.8
front,"[9, 12, 11]",99.7
front,"[9, 11, 10]",99.6
front,"[9, 10, 9]",99.5
front,"[9, 9, 8]",99.4
front,"[9, 8, 7]",99.3
front,"[9, 7, 6]",99.2
front,"[9, 6, 5]",99.1
front,"[9, 5, 4]",99.0
front,"[8, 14, 13]",99.199
front,"[8, 14, 12]",99.198
front,"[8, 14, 11]",99.197
front,"[8, 14, 10]",99.196
front,"[8, 14, 9]",99.195
front,"[8, 14, 8]",99.194
front,"[8, 14, 7]",99.193
front,"[8, 14, 6]",99.192
front,"[8, 14, 5]",99.191
front,"[8, 14, 4]",99.19
front,"[8, 14, 3]",99.189
front,"[8, 14, 2]",99.188
front,"[8, 13, 14]",99.1
front,"[8, 13, 12]",99.098
front,"[8, 13, 11]",99.097
front,"[8, 13, 10]",99.096
front,"[8, 13, 9]",99.095
front,"[8, 13, 8]",99.094
front,"[8, 13, 7]",99.093
front,"[8, 13, 6]",99.092
front,"[8, 13, 5]",99.091
front,"[8, 13, 4]",99.09
front,"[8, 13, 3]",99.089
front,"[8, 13, 2]",99.088
front,"[8, 12, 14]",99.0
front,"[8, 12, 13]",98.999
front,"[8, 12, 11]",98.997
front,"[8, 12, 10]",98.996
front,"[8, 12, 9]",98.995
front,"[8, 12, 8]",98.994
front,"[8, 12, 7]",98.993
front,"[8, 12, 6]",98.992
front,"[8, 12, 5]",98.991
front,"[8, 12, 4]",98.99
front,"[8, 12, 3]",98.989
front,"[8, 12, 2]",98.988
front,"[8, 11, 14]",98.9
front,"[8, 11, 13]",98.899
front,"[8, 11, 12]",98.898
front,"[8, 11, 10]",98.896
front,"[8, 11, 9]",98.895
front,"[8, 11, 8]",98.894
front,"[8, 11, 7]",98.893
front,"[8, 11, 6]",98.892
front,"[8, 11, 5]",98.891
front,"[8, 11, 4]",98.89
front,"[8, 11, 3]",98.889
front,"[8, 11, 2]",98.888
