position,hand_rank_tuple,wins,total_matchups,win_rate
back,"(3, 6, 2)",0,15,0.0
back,"(3, 7, 2)",0,55,0.0
back,"(3, 7, 3)",0,10,0.0
back,"(3, 7, 4)",0,5,0.0
back,"(3, 8, 2)",0,15,0.0
back,"(3, 8, 3)",0,35,0.0
back,"(3, 8, 4)",0,15,0.0
back,"(3, 8, 5)",0,10,0.0
back,"(3, 8, 6)",0,5,0.0
back,"(3, 8, 7)",0,55,0.0
back,"(3, 9, 2)",0,20,0.0
back,"(3, 9, 3)",0,25,0.0
back,"(3, 9, 4)",0,25,0.0
back,"(3, 9, 5)",0,15,0.0
back,"(3, 9, 6)",0,10,0.0
back,"(3, 9, 7)",0,65,0.0
back,"(3, 9, 8)",0,120,0.0
back,"(3, 10, 2)",0,30,0.0
back,"(3, 10, 3)",0,60,0.0
back,"(3, 10, 4)",0,40,0.0
back,"(3, 10, 5)",0,20,0.0
back,"(3, 10, 6)",0,5,0.0
back,"(3, 10, 7)",0,75,0.0
back,"(3, 10, 8)",0,75,0.0
back,"(3, 10, 9)",1,95,0.010526315789473684
back,"(3, 11, 2)",0,20,0.0
back,"(3, 11, 3)",0,35,0.0
back,"(3, 11, 4)",0,25,0.0
back,"(3, 11, 5)",0,10,0.0
back,"(3, 11, 7)",0,85,0.0
back,"(3, 11, 8)",0,65,0.0
back,"(3, 11, 9)",0,105,0.0
back,"(3, 11, 10)",1,150,0.006666666666666667
back,"(3, 12, 2)",1,60,0.016666666666666666
back,"(3, 12, 3)",1,50,0.02
back,"(3, 12, 4)",0,35,0.0
back,"(3, 12, 5)",1,40,0.025
back,"(3, 12, 7)",0,125,0.0
back,"(3, 12, 11)",1,55,0.01818181818181818
back,"(3, 13, 2)",1,35,0.02857142857142857
back,"(3, 13, 3)",0,45,0.0
back,"(3, 13, 12)",0,70,0.0
back,"(3, 14, 11)",2,230,0.008695652173913044
back,"(5, 6, 2)",2,280,0.007142857142857143
back,"(5, 7, 3)",4,615,0.0065040650406504065
back,"(5, 8, 4)",0,5,0.0
back,"(5, 9, 5)",0,25,0.0
back,"(5, 10, 6)",1,50,0.02
back,"(5, 11, 7)",0,85,0.0
back,"(5, 12, 8)",2,135,0.014814814814814815
back,"(5, 13, 9)",1,255,0.00392156862745098
back,"(5, 14, 5)",3,585,0.005128205128205128
back,"(5, 14, 10)",15,740,0.02027027027027027
back,"(6, 5, 3, 3, 2, 2)",0,5,0.0
back,"(6, 5, 4, 3, 3, 2)",0,5,0.0
back,"(6, 5, 4, 4, 3, 2)",1,5,0.2
back,"(6, 5, 5, 4, 3, 2)",0,10,0.0
back,"(6, 6, 4, 3, 2, 2)",0,5,0.0
back,"(6, 6, 4, 3, 3, 2)",0,5,0.0
back,"(6, 6, 4, 4, 2, 2)",0,5,0.0
back,"(6, 6, 4, 4, 3, 2)",0,15,0.0
back,"(6, 6, 4, 4, 3, 3)",0,10,0.0
back,"(6, 6, 5, 3, 2, 2)",0,5,0.0
back,"(6, 6, 5, 3, 3, 2)",0,10,0.0
back,"(6, 6, 5, 4, 4, 3)",0,5,0.0
back,"(6, 6, 5, 5, 4, 2)",0,10,0.0
back,"(6, 6, 6, 4, 2, 2)",0,5,0.0
back,"(6, 6, 6, 4, 4, 3)",0,5,0.0
back,"(6, 6, 6, 5, 4, 2)",0,5,0.0
back,"(6, 6, 6, 5, 4, 3)",0,5,0.0
back,"(6, 7, 4, 3, 3, 2)",0,5,0.0
back,"(6, 7, 4, 4, 3, 3)",0,5,0.0
back,"(6, 7, 5, 3, 2, 2)",0,5,0.0
back,"(6, 7, 5, 3, 3, 2)",0,5,0.0
back,"(6, 7, 5, 4, 2, 2)",0,5,0.0
back,"(6, 7, 5, 4, 3, 2)",1,35,0.02857142857142857
back,"(6, 7, 5, 4, 4, 3)",1,10,0.1
back,"(6, 7, 5, 5, 2, 2)",0,5,0.0
back,"(6, 7, 5, 5, 4, 2)",0,5,0.0
back,"(6, 7, 5, 5, 4, 3)",1,10,0.1
back,"(6, 7, 6, 3, 2, 2)",0,5,0.0
back,"(6, 7, 6, 3, 3, 2)",0,10,0.0
back,"(6, 7, 6, 4, 2, 2)",0,10,0.0
back,"(6, 7, 6, 4, 3, 2)",0,10,0.0
back,"(6, 7, 6, 4, 3, 3)",0,10,0.0
back,"(6, 7, 6, 5, 2, 2)",0,10,0.0
back,"(6, 7, 6, 5, 3, 2)",0,35,0.0
back,"(6, 7, 6, 5, 3, 3)",0,5,0.0
back,"(6, 7, 6, 5, 4, 2)",0,20,0.0
back,"(6, 7, 6, 5, 4, 4)",0,10,0.0
back,"(6, 7, 6, 5, 5, 3)",0,10,0.0
back,"(6, 7, 6, 5, 5, 4)",0,5,0.0
back,"(6, 7, 6, 6, 3, 3)",0,5,0.0
back,"(6, 7, 6, 6, 4, 2)",0,5,0.0
back,"(6, 7, 6, 6, 4, 3)",0,15,0.0
back,"(6, 7, 6, 6, 4, 4)",0,10,0.0
back,"(6, 7, 6, 6, 5, 2)",0,5,0.0
back,"(6, 7, 6, 6, 5, 4)",0,5,0.0
back,"(6, 7, 7, 3, 2, 2)",0,5,0.0
back,"(6, 7, 7, 4, 3, 2)",0,10,0.0
back,"(6, 7, 7, 5, 2, 2)",0,5,0.0
back,"(6, 7, 7, 5, 3, 2)",0,10,0.0
back,"(6, 7, 7, 5, 3, 3)",0,10,0.0
back,"(6, 7, 7, 6, 2, 2)",0,5,0.0
back,"(6, 7, 7, 6, 4, 2)",0,5,0.0
back,"(6, 7, 7, 6, 4, 3)",0,5,0.0
back,"(6, 7, 7, 6, 5, 2)",0,10,0.0
back,"(6, 7, 7, 6, 5, 4)",0,10,0.0
back,"(6, 7, 7, 6, 6, 3)",0,10,0.0
back,"(6, 8, 4, 4, 3, 2)",0,5,0.0
back,"(6, 8, 5, 3, 2, 2)",0,5,0.0
back,"(6, 8, 5, 4, 2, 2)",0,5,0.0
back,"(6, 8, 5, 4, 3, 2)",0,30,0.0
back,"(6, 8, 5, 4, 4, 2)",0,5,0.0
back,"(6, 8, 5, 4, 4, 3)",0,20,0.0
back,"(6, 8, 5, 5, 3, 2)",0,5,0.0
back,"(6, 8, 6, 3, 3, 2)",0,10,0.0
back,"(6, 8, 6, 4, 2, 2)",0,5,0.0
back,"(6, 8, 6, 4, 3, 2)",0,20,0.0
back,"(6, 8, 6, 4, 4, 2)",0,5,0.0
back,"(6, 8, 6, 4, 4, 3)",0,15,0.0
back,"(6, 8, 6, 5, 2, 2)",0,5,0.0
back,"(6, 8, 6, 5, 3, 3)",0,10,0.0
back,"(6, 8, 6, 5, 4, 2)",0,20,0.0
back,"(6, 8, 6, 5, 4, 3)",0,30,0.0
back,"(6, 8, 6, 5, 5, 2)",1,5,0.2
back,"(6, 8, 6, 5, 5, 4)",0,5,0.0
back,"(6, 8, 6, 6, 4, 2)",0,10,0.0
back,"(6, 8, 6, 6, 4, 3)",0,10,0.0
back,"(6, 8, 6, 6, 5, 2)",0,5,0.0
back,"(6, 8, 6, 6, 5, 3)",0,10,0.0
back,"(6, 8, 6, 6, 5, 4)",0,5,0.0
back,"(6, 8, 7, 3, 2, 2)",1,15,0.06666666666666667
back,"(6, 8, 7, 4, 2, 2)",0,5,0.0
back,"(6, 8, 7, 4, 3, 2)",0,15,0.0
back,"(6, 8, 7, 4, 3, 3)",0,10,0.0
back,"(6, 8, 7, 4, 4, 2)",0,5,0.0
back,"(6, 8, 7, 4, 4, 3)",0,10,0.0
back,"(6, 8, 7, 5, 2, 2)",0,5,0.0
back,"(6, 8, 7, 5, 3, 2)",0,5,0.0
back,"(6, 8, 7, 5, 3, 3)",1,10,0.1
back,"(6, 8, 7, 5, 4, 4)",1,30,0.03333333333333333
back,"(6, 8, 7, 5, 5, 2)",1,5,0.2
back,"(6, 8, 7, 5, 5, 3)",0,10,0.0
back,"(6, 8, 7, 6, 2, 2)",0,5,0.0
back,"(6, 8, 7, 6, 3, 2)",0,5,0.0
back,"(6, 8, 7, 6, 3, 3)",0,5,0.0
back,"(6, 8, 7, 6, 4, 4)",0,5,0.0
back,"(6, 8, 7, 6, 5, 2)",1,25,0.04
back,"(6, 8, 7, 6, 5, 3)",0,15,0.0
back,"(6, 8, 7, 6, 6, 3)",0,5,0.0
back,"(6, 8, 7, 6, 6, 5)",0,10,0.0
back,"(6, 8, 7, 7, 3, 2)",0,5,0.0
