position,hand_rank_tuple,wins,total_matchups,win_rate
back,"(3, 11, 6)",0,5,0.0
back,"(3, 12, 6)",0,5,0.0
back,"(3, 12, 8)",0,10,0.0
back,"(3, 12, 9)",0,5,0.0
back,"(3, 12, 10)",0,5,0.0
back,"(3, 13, 4)",0,5,0.0
back,"(3, 13, 5)",0,10,0.0
back,"(3, 13, 6)",0,20,0.0
back,"(3, 13, 7)",0,5,0.0
back,"(3, 13, 8)",0,20,0.0
back,"(3, 13, 9)",1,10,0.1
back,"(3, 13, 10)",0,15,0.0
back,"(3, 14, 5)",0,20,0.0
back,"(3, 14, 6)",0,20,0.0
back,"(3, 14, 7)",0,25,0.0
back,"(3, 14, 8)",0,25,0.0
back,"(3, 14, 9)",0,30,0.0
back,"(3, 14, 10)",0,25,0.0
back,"(3, 14, 11)",2,5,0.4
back,"(5, 8, 4)",0,5,0.0
back,"(5, 9, 5)",0,30,0.0
back,"(5, 10, 6)",1,85,0.011764705882352941
back,"(5, 11, 7)",1,120,0.008333333333333333
back,"(5, 12, 8)",1,85,0.011764705882352941
back,"(5, 13, 9)",2,100,0.02
back,"(5, 14, 5)",6,630,0.009523809523809525
back,"(5, 14, 10)",8,245,0.0326530612244898
back,"(6, 5, 4, 4, 2, 2)",0,5,0.0
back,"(6, 6, 4, 3, 3, 2)",0,5,0.0
back,"(6, 6, 5, 4, 3, 3)",0,5,0.0
back,"(6, 7, 4, 4, 3, 2)",1,5,0.2
back,"(6, 7, 5, 3, 2, 2)",0,5,0.0
back,"(6, 7, 6, 3, 2, 2)",0,5,0.0
back,"(6, 7, 6, 6, 4, 2)",0,5,0.0
back,"(6, 7, 6, 6, 5, 4)",0,5,0.0
back,"(6, 7, 7, 5, 4, 2)",0,5,0.0
back,"(6, 8, 4, 3, 2, 2)",0,5,0.0
back,"(6, 8, 4, 3, 3, 2)",0,5,0.0
back,"(6, 8, 5, 3, 2, 2)",0,5,0.0
back,"(6, 8, 5, 3, 3, 2)",0,10,0.0
back,"(6, 8, 6, 3, 2, 2)",0,5,0.0
back,"(6, 8, 6, 5, 3, 2)",0,5,0.0
back,"(6, 8, 6, 5, 5, 3)",0,5,0.0
back,"(6, 8, 6, 5, 5, 4)",0,5,0.0
back,"(6, 8, 7, 3, 3, 2)",1,5,0.2
back,"(6, 8, 7, 4, 3, 2)",0,5,0.0
back,"(6, 8, 7, 5, 3, 2)",1,10,0.1
back,"(6, 8, 7, 5, 4, 2)",0,5,0.0
back,"(6, 8, 7, 5, 4, 3)",0,5,0.0
back,"(6, 8, 7, 5, 5, 4)",0,5,0.0
back,"(6, 8, 7, 6, 3, 2)",0,5,0.0
back,"(6, 8, 7, 6, 4, 2)",0,10,0.0
back,"(6, 8, 7, 6, 4, 3)",0,5,0.0
back,"(6, 8, 7, 6, 5, 5)",0,5,0.0
back,"(6, 8, 7, 6, 6, 2)",1,5,0.2
back,"(6, 8, 7, 7, 4, 3)",1,5,0.2
back,"(6, 8, 7, 7, 5, 2)",0,5,0.0
back,"(6, 9, 5, 4, 3, 2)",0,5,0.0
back,"(6, 9, 6, 5, 4, 3)",0,5,0.0
back,"(6, 9, 6, 5, 4, 4)",0,5,0.0
back,"(6, 9, 7, 4, 3, 2)",0,5,0.0
back,"(6, 9, 7, 5, 2, 2)",1,5,0.2
back,"(6, 9, 7, 5, 4, 2)",0,5,0.0
back,"(6, 9, 7, 6, 3, 2)",0,5,0.0
back,"(6, 9, 7, 6, 4, 2)",1,10,0.1
back,"(6, 9, 7, 6, 4, 4)",1,5,0.2
back,"(6, 9, 7, 6, 6, 2)",0,5,0.0
back,"(6, 9, 7, 6, 6, 4)",0,5,0.0
back,"(6, 9, 8, 4, 3, 2)",0,10,0.0
back,"(6, 9, 8, 5, 2, 2)",0,5,0.0
back,"(6, 9, 8, 5, 3, 2)",0,5,0.0
back,"(6, 9, 8, 5, 4, 3)",0,5,0.0
back,"(6, 9, 8, 6, 3, 3)",0,5,0.0
back,"(6, 9, 8, 6, 4, 2)",0,5,0.0
back,"(6, 9, 8, 6, 5, 3)",0,5,0.0
back,"(6, 9, 8, 6, 5, 4)",1,5,0.2
back,"(6, 9, 8, 7, 4, 3)",0,5,0.0
back,"(6, 9, 8, 7, 6, 2)",0,5,0.0
back,"(6, 9, 8, 8, 4, 3)",0,5,0.0
back,"(6, 9, 8, 8, 6, 4)",0,5,0.0
back,"(6, 9, 9, 3, 2, 2)",0,5,0.0
back,"(6, 9, 9, 4, 3, 2)",0,5,0.0
back,"(6, 9, 9, 7, 4, 3)",0,10,0.0
back,"(6, 9, 9, 7, 5, 2)",0,5,0.0
back,"(6, 10, 6, 4, 3, 2)",1,5,0.2
back,"(6, 10, 6, 5, 4, 2)",0,5,0.0
back,"(6, 10, 6, 5, 4, 3)",0,5,0.0
back,"(6, 10, 6, 6, 3, 2)",0,5,0.0
back,"(6, 10, 6, 6, 5, 3)",0,5,0.0
back,"(6, 10, 7, 4, 4, 2)",0,5,0.0
back,"(6, 10, 7, 5, 3, 2)",0,5,0.0
back,"(6, 10, 7, 5, 4, 2)",0,5,0.0
back,"(6, 10, 7, 6, 3, 2)",1,10,0.1
back,"(6, 10, 7, 6, 5, 3)",1,15,0.06666666666666667
back,"(6, 10, 7, 7, 5, 3)",0,5,0.0
back,"(6, 10, 8, 5, 4, 3)",1,5,0.2
back,"(6, 10, 8, 6, 2, 2)",0,5,0.0
back,"(6, 10, 8, 6, 3, 2)",0,5,0.0
back,"(6, 10, 8, 6, 3, 3)",0,5,0.0
back,"(6, 10, 8, 6, 4, 3)",0,5,0.0
back,"(6, 10, 8, 6, 5, 2)",1,5,0.2
back,"(6, 10, 8, 7, 3, 2)",0,15,0.0
back,"(6, 10, 8, 7, 4, 2)",0,5,0.0
back,"(6, 10, 8, 7, 4, 3)",0,5,0.0
back,"(6, 10, 8, 7, 5, 2)",0,5,0.0
back,"(6, 10, 8, 7, 5, 5)",1,5,0.2
back,"(6, 10, 8, 7, 6, 2)",0,5,0.0
back,"(6, 10, 8, 7, 6, 3)",0,5,0.0
back,"(6, 10, 8, 7, 6, 4)",0,5,0.0
back,"(6, 10, 8, 8, 7, 2)",0,5,0.0
back,"(6, 10, 8, 8, 7, 4)",0,5,0.0
back,"(6, 10, 8, 8, 7, 6)",0,5,0.0
back,"(6, 10, 9, 4, 3, 2)",0,5,0.0
back,"(6, 10, 9, 4, 4, 3)",0,5,0.0
back,"(6, 10, 9, 5, 4, 2)",0,5,0.0
back,"(6, 10, 9, 5, 4, 3)",0,5,0.0
back,"(6, 10, 9, 6, 3, 2)",0,5,0.0
back,"(6, 10, 9, 6, 6, 4)",0,5,0.0
back,"(6, 10, 9, 6, 6, 5)",0,5,0.0
back,"(6, 10, 9, 7, 4, 2)",0,15,0.0
back,"(6, 10, 9, 7, 5, 2)",0,10,0.0
back,"(6, 10, 9, 7, 5, 3)",1,10,0.1
back,"(6, 10, 9, 7, 5, 4)",0,15,0.0
back,"(6, 10, 9, 7, 6, 3)",0,10,0.0
back,"(6, 10, 9, 7, 6, 5)",0,5,0.0
back,"(6, 10, 9, 8, 3, 2)",0,10,0.0
back,"(6, 10, 9, 8, 4, 4)",0,5,0.0
back,"(6, 10, 9, 8, 6, 4)",1,5,0.2
back,"(6, 10, 9, 8, 6, 5)",1,5,0.2
back,"(6, 10, 9, 8, 6, 6)",0,5,0.0
back,"(6, 10, 9, 8, 7, 3)",0,5,0.0
back,"(6, 10, 9, 8, 7, 4)",0,5,0.0
back,"(6, 10, 9, 8, 8, 3)",0,5,0.0
back,"(6, 10, 9, 9, 4, 2)",0,5,0.0
back,"(6, 10, 9, 9, 5, 2)",0,5,0.0
back,"(6, 10, 9, 9, 6, 5)",1,5,0.2
back,"(6, 10, 9, 9, 6, 6)",0,5,0.0
back,"(6, 10, 9, 9, 7, 3)",0,5,0.0
back,"(6, 10, 9, 9, 8, 2)",0,5,0.0
