position,hand_rank_tuple,wins,total_matchups,netev
front,"(9, 14, 13)",1,1,15.000000
front,"(9, 14, 5)",1,1,14.999000
front,"(9, 13, 12)",1,1,14.988889
front,"(9, 12, 11)",1,1,14.977778
front,"(9, 11, 10)",1,1,14.966667
front,"(9, 10, 9)",1,1,14.955556
front,"(9, 9, 8)",1,1,14.944444
front,"(9, 8, 7)",1,1,14.933333
front,"(9, 7, 6)",1,1,14.922222
front,"(9, 6, 5)",1,1,14.911111
front,"(9, 5, 4)",1,1,14.900000
front,"(8, 14, 13)",1,1,12.000000
front,"(8, 14, 12)",1,1,11.999944
front,"(8, 14, 11)",1,1,11.999888
front,"(8, 14, 10)",1,1,11.999832
front,"(8, 14, 9)",1,1,11.999776
front,"(8, 14, 8)",1,1,11.999720
front,"(8, 14, 7)",1,1,11.999664
front,"(8, 14, 6)",1,1,11.999608
front,"(8, 14, 5)",1,1,11.999552
front,"(8, 14, 4)",1,1,11.999497
front,"(8, 14, 3)",1,1,11.999441
front,"(8, 14, 2)",1,1,11.999385
front,"(8, 13, 14)",1,1,11.999333
front,"(8, 13, 12)",1,1,11.999277
front,"(8, 13, 11)",1,1,11.999221
front,"(8, 13, 10)",1,1,11.999166
front,"(8, 13, 9)",1,1,11.999110
front,"(8, 13, 8)",1,1,11.999054
front,"(8, 13, 7)",1,1,11.998998
front,"(8, 13, 6)",1,1,11.998942
front,"(8, 13, 5)",1,1,11.998886
front,"(8, 13, 4)",1,1,11.998830
front,"(8, 13, 3)",1,1,11.998774
front,"(8, 13, 2)",1,1,11.998718
front,"(8, 12, 14)",1,1,11.998667
front,"(8, 12, 13)",1,1,11.998611
front,"(8, 12, 11)",1,1,11.998555
front,"(8, 12, 10)",1,1,11.998499
front,"(8, 12, 9)",1,1,11.998443
front,"(8, 12, 8)",1,1,11.998387
front,"(8, 12, 7)",1,1,11.998331
front,"(8, 12, 6)",1,1,11.998275
front,"(8, 12, 5)",1,1,11.998219
front,"(8, 12, 4)",1,1,11.998163
front,"(8, 12, 3)",1,1,11.998107
front,"(8, 12, 2)",1,1,11.998051
front,"(8, 11, 14)",1,1,11.998000
front,"(8, 11, 13)",1,1,11.997944
front,"(8, 11, 12)",1,1,11.997888
front,"(8, 11, 10)",1,1,11.997832
front,"(8, 11, 9)",1,1,11.997776
front,"(8, 11, 8)",1,1,11.997720
front,"(8, 11, 7)",1,1,11.997664
front,"(8, 11, 6)",1,1,11.997608
front,"(8, 11, 5)",1,1,11.997552
front,"(8, 11, 4)",1,1,11.997497
front,"(8, 11, 3)",1,1,11.997441
front,"(8, 11, 2)",1,1,11.997385
front,"(8, 10, 14)",1,1,11.997333
front,"(8, 10, 13)",1,1,11.997277
front,"(8, 10, 12)",1,1,11.997221
front,"(8, 10, 11)",1,1,11.997166
front,"(8, 10, 9)",1,1,11.997110
front,"(8, 10, 8)",1,1,11.997054
front,"(8, 10, 7)",1,1,11.996998
front,"(8, 10, 6)",1,1,11.996942
front,"(8, 10, 5)",1,1,11.996886
front,"(8, 10, 4)",1,1,11.996830
front,"(8, 10, 3)",1,1,11.996774
front,"(8, 10, 2)",1,1,11.996718
front,"(8, 9, 14)",1,1,11.996667
front,"(8, 9, 13)",1,1,11.996611
front,"(8, 9, 12)",1,1,11.996555
front,"(8, 9, 11)",1,1,11.996499
front,"(8, 9, 10)",1,1,11.996443
front,"(8, 9, 8)",1,1,11.996387
front,"(8, 9, 7)",1,1,11.996331
front,"(8, 9, 6)",1,1,11.996275
front,"(8, 9, 5)",1,1,11.996219
front,"(8, 9, 4)",1,1,11.996163
front,"(8, 9, 3)",1,1,11.996107
front,"(8, 9, 2)",1,1,11.996051
front,"(8, 8, 14)",1,1,11.996000
front,"(8, 8, 13)",1,1,11.995944
front,"(8, 8, 12)",1,1,11.995888
front,"(8, 8, 11)",1,1,11.995832
front,"(8, 8, 10)",1,1,11.995776
front,"(8, 8, 9)",1,1,11.995720
front,"(8, 8, 7)",1,1,11.995664
front,"(8, 8, 6)",1,1,11.995608
