hand_rank_tuple,position,hand_type,primary_rank,win_rate,win_points,positive_ev,higher_types_loss_ev,same_type_loss_ev,total_negative_ev,final_ev,extrapolated
"(10, 13)",back,5 of a Kind,13,0.9609756097560975,1,0.9609756097560975,-0.3769,-0.0025666666666666667,-0.3794666666666667,0.5815089430894309,
"(10, 8)",back,5 of a Kind,8,0.96,1,0.96,-0.3769,-0.014866666666666667,-0.3917666666666667,0.5682333333333333,
"(10, 9)",back,5 of a Kind,9,0.9593220338983051,1,0.9593220338983051,-0.3769,-0.0129,-0.38980000000000004,0.569522033898305,
"(10, 14)",back,5 of a Kind,14,0.9532467532467532,1,0.9532467532467532,-0.3769,-0.0,-0.3769,0.5763467532467532,
"(10, 7)",back,5 of a Kind,7,0.9493670886075949,1,0.9493670886075949,-0.3769,-0.017366666666666666,-0.39426666666666665,0.5551004219409282,
"(10, 5)",back,5 of a Kind,5,0.9461538461538461,1,0.9461538461538461,-0.3769,-0.022266666666666667,-0.39916666666666667,0.5469871794871795,
"(10, 6)",back,5 of a Kind,6,0.9441176470588235,1,0.9441176470588235,-0.3769,-0.02,-0.39690000000000003,0.5472176470588235,
"(10, 10)",back,5 of a Kind,10,0.9436619718309859,1,0.9436619718309859,-0.3769,-0.010533333333333334,-0.38743333333333335,0.5562286384976525,
"(10, 11)",back,5 of a Kind,11,0.9411764705882353,1,0.9411764705882353,-0.3769,-0.0077,-0.3846,0.5565764705882352,
"(10, 2)",back,5 of a Kind,2,0.9390243902439024,1,0.9390243902439024,-0.3769,-0.030633333333333332,-0.40753333333333336,0.5314910569105691,
"(10, 12)",back,5 of a Kind,12,0.9388888888888889,1,0.9388888888888889,-0.3769,-0.0053,-0.38220000000000004,0.5566888888888888,
"(10, 4)",back,5 of a Kind,4,0.9355555555555556,1,0.9355555555555556,-0.3769,-0.024866666666666665,-0.40176666666666666,0.5337888888888889,
"(10, 3)",back,5 of a Kind,3,0.927710843373494,1,0.927710843373494,-0.3769,-0.027866666666666668,-0.40476666666666666,0.5229441767068272,
"(12, 2)",back,6 of a Kind,2,1.0,10,10.0,-0.08876666666666666,-0.043333333333333335,-0.1321,9.8679,
"(12, 5)",back,6 of a Kind,5,1.0,10,10.0,-0.08876666666666666,-0.035666666666666666,-0.12443333333333333,9.875566666666666,
"(12, 7)",back,6 of a Kind,7,1.0,10,10.0,-0.08876666666666666,-0.026666666666666665,-0.11543333333333333,9.884566666666666,
"(12, 8)",back,6 of a Kind,8,1.0,10,10.0,-0.08876666666666666,-0.022000000000000002,-0.11076666666666667,9.889233333333333,
"(12, 9)",back,6 of a Kind,9,1.0,10,10.0,-0.08876666666666666,-0.019333333333333334,-0.1081,9.8919,
"(12, 10)",back,6 of a Kind,10,1.0,10,10.0,-0.08876666666666666,-0.016333333333333335,-0.1051,9.8949,
"(12, 11)",back,6 of a Kind,11,1.0,10,10.0,-0.08876666666666666,-0.011999999999999999,-0.10076666666666666,9.899233333333333,
"(12, 12)",back,6 of a Kind,12,1.0,10,10.0,-0.08876666666666666,-0.006333333333333333,-0.09509999999999999,9.9049,
"(12, 14)",back,6 of a Kind,14,1.0,10,10.0,-0.08876666666666666,-0.0,-0.08876666666666666,9.911233333333334,
"(12, 6)",back,6 of a Kind,6,0.9857142857142858,10,9.857142857142858,-0.08876666666666666,-0.031,-0.11976666666666666,9.73737619047619,
"(12, 13)",back,6 of a Kind,13,0.9833333333333333,10,9.833333333333332,-0.08876666666666666,-0.002333333333333333,-0.09109999999999999,9.742233333333331,
"(12, 4)",back,6 of a Kind,4,0.9777777777777777,10,9.777777777777777,-0.08876666666666666,-0.03766666666666667,-0.12643333333333334,9.651344444444444,
