hand_rank_tuple,position,hand_type,primary_rank,win_rate,win_points,positive_ev,higher_types_loss_ev,same_type_loss_ev,total_negative_ev,final_ev,extrapolated
"(16, 14)",back,8 of a Kind,14,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 13)",back,8 of a Kind,13,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 12)",back,8 of a Kind,12,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 11)",back,8 of a Kind,11,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 10)",back,8 of a Kind,10,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 9)",back,8 of a Kind,9,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 8)",back,8 of a Kind,8,1.0,18,18.0,-0.0,-0.0,-0.0,18.0,
"(16, 7)",back,8 of a Kind,7,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 6)",back,8 of a Kind,6,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 5)",back,8 of a Kind,5,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 4)",back,8 of a Kind,4,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 3)",back,8 of a Kind,3,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(16, 2)",back,8 of a Kind,2,1.0,18,18.0,0.0,0.0,0.0,18.0,True
"(15, 14)",back,8-card Straight Flush,14,1.0,14,14.0,-3.3333333333333335e-05,-0.0,-3.3333333333333335e-05,13.999966666666667,
"(15, 13)",back,8-card Straight Flush,13,1.0,14,14.0,-3.3333333333333335e-05,-0.0042,-0.004233333333333333,13.995766666666666,
"(15, 12)",back,8-card Straight Flush,12,1.0,14,14.0,-3.3333333333333335e-05,-0.0084,-0.008433333333333333,13.991566666666667,
"(15, 11)",back,8-card Straight Flush,11,1.0,14,14.0,-3.3333333333333335e-05,-0.010266666666666667,-0.0103,13.9897,
"(15, 10)",back,8-card Straight Flush,10,1.0,14,14.0,-3.3333333333333335e-05,-0.011666666666666667,-0.0117,13.9883,
"(15, 9)",back,8-card Straight Flush,9,1.0,14,14.0,-3.3333333333333335e-05,-0.014,-0.014033333333333333,13.985966666666666,
"(15, 8)",back,8-card Straight Flush,8,1.0,14,14.0,0.0,0.0,0.008122222222221254,13.991877777777779,True
"(15, 7)",back,8-card Straight Flush,7,1.0,14,14.0,0.0,0.0,0.008122222222221254,13.991877777777779,True
"(15, 6)",back,8-card Straight Flush,6,1.0,14,14.0,0.0,0.0,0.008122222222221254,13.991877777777779,True
"(15, 5)",back,8-card Straight Flush,5,1.0,14,14.0,0.0,0.0,0.008122222222221254,13.991877777777779,True
"(15, 4)",back,8-card Straight Flush,4,1.0,14,14.0,0.0,0.0,0.008122222222221254,13.991877777777779,True
"(15, 3)",back,8-card Straight Flush,3,1.0,14,14.0,0.0,0.0,0.008122222222221254,13.991877777777779,True
"(15, 2)",back,8-card Straight Flush,2,1.0,14,14.0,0.0,0.0,0.008122222222221254,13.991877777777779,True
"(14, 14)",back,7 of a Kind,14,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 13)",back,7 of a Kind,13,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 12)",back,7 of a Kind,12,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 11)",back,7 of a Kind,11,1.0,14,14.0,-0.0013333333333333333,-0.0,-0.0013333333333333333,13.998666666666667,
"(14, 10)",back,7 of a Kind,10,1.0,14,14.0,-0.0013333333333333333,-0.00046666666666666666,-0.0018,13.9982,
"(14, 9)",back,7 of a Kind,9,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 8)",back,7 of a Kind,8,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 7)",back,7 of a Kind,7,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 6)",back,7 of a Kind,6,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 5)",back,7 of a Kind,5,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 4)",back,7 of a Kind,4,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 3)",back,7 of a Kind,3,1.0,14,14.0,0.0,0.0,0.0017999999999993577,13.9982,True
"(14, 2)",back,7 of a Kind,2,1.0,14,14.0,-0.0013333333333333333,-0.0009333333333333333,-0.002266666666666667,13.997733333333333,
"(13, 14)",back,7-card Straight Flush,14,1.0,10,10.0,-0.0014333333333333333,-0.0,-0.0014333333333333333,9.998566666666667,
"(13, 13)",back,7-card Straight Flush,13,1.0,10,10.0,-0.0014333333333333333,-0.014,-0.015433333333333334,9.984566666666666,
"(13, 12)",back,7-card Straight Flush,12,0.992,10,9.92,-0.0014333333333333333,-0.021333333333333336,-0.02276666666666667,9.897233333333332,
"(13, 11)",back,7-card Straight Flush,11,1.0,10,10.0,-0.0014333333333333333,-0.029666666666666664,-0.031099999999999996,9.9689,
"(13, 10)",back,7-card Straight Flush,10,1.0,10,10.0,-0.0014333333333333333,-0.03733333333333333,-0.038766666666666665,9.961233333333332,
"(13, 9)",back,7-card Straight Flush,9,1.0,10,10.0,-0.0014333333333333333,-0.044333333333333336,-0.04576666666666667,9.954233333333333,
"(13, 8)",back,7-card Straight Flush,8,1.0,10,10.0,-0.0014333333333333333,-0.051000000000000004,-0.05243333333333334,9.947566666666667,
"(13, 7)",back,7-card Straight Flush,7,0.9992238392238392,10,9.992238392238391,0.0,0.0,0.029674607293220134,9.962563784945171,True
"(13, 6)",back,7-card Straight Flush,6,0.9991400418035234,10,9.991400418035234,0.0,0.0,0.029672118706136175,9.961728299329097,True
"(13, 5)",back,7-card Straight Flush,5,0.9990872872147771,10,9.990872872147772,0.0,0.0,0.02967055201843216,9.96120232012934,True
"(13, 4)",back,7-card Straight Flush,4,0.9990508840183352,10,9.990508840183352,0.0,0.0,0.029669470928773478,9.960839369254579,True
"(13, 3)",back,7-card Straight Flush,3,0.9990242442909315,10,9.990242442909315,0.0,0.0,0.029668679791274855,9.96057376311804,True
"(13, 2)",back,7-card Straight Flush,2,0.9990039184982763,10,9.990039184982763,0.0,0.0,0.029668076162847612,9.960371108819915,True
"(12, 14)",back,6 of a Kind,14,1.0,11,11.0,-0.007666666666666666,-0.0,-0.007666666666666666,10.992333333333333,
"(12, 13)",back,6 of a Kind,13,0.9833333333333333,11,10.816666666666666,-0.007666666666666666,-0.0025666666666666667,-0.010233333333333334,10.806433333333333,
"(12, 12)",back,6 of a Kind,12,1.0,11,11.0,-0.007666666666666666,-0.006966666666666666,-0.014633333333333332,10.985366666666666,
"(12, 11)",back,6 of a Kind,11,1.0,11,11.0,-0.007666666666666666,-0.013199999999999998,-0.020866666666666665,10.979133333333333,
"(12, 10)",back,6 of a Kind,10,1.0,11,11.0,-0.007666666666666666,-0.01796666666666667,-0.025633333333333334,10.974366666666667,
"(12, 9)",back,6 of a Kind,9,1.0,11,11.0,-0.007666666666666666,-0.021266666666666666,-0.028933333333333332,10.971066666666667,
"(12, 8)",back,6 of a Kind,8,1.0,11,11.0,-0.007666666666666666,-0.024200000000000003,-0.03186666666666667,10.968133333333334,
"(12, 7)",back,6 of a Kind,7,1.0,11,11.0,-0.007666666666666666,-0.029333333333333333,-0.037,10.963,
"(12, 6)",back,6 of a Kind,6,0.9857142857142858,11,10.842857142857143,-0.007666666666666666,-0.0341,-0.04176666666666667,10.801090476190478,
"(12, 5)",back,6 of a Kind,5,1.0,11,11.0,-0.007666666666666666,-0.039233333333333335,-0.046900000000000004,10.9531,
"(12, 4)",back,6 of a Kind,4,0.9777777777777777,11,10.755555555555555,-0.007666666666666666,-0.041433333333333336,-0.049100000000000005,10.706455555555555,
"(12, 3)",back,6 of a Kind,3,0.975,11,10.725,-0.007666666666666666,-0.04473333333333333,-0.0524,10.6726,
"(12, 2)",back,6 of a Kind,2,1.0,11,11.0,-0.007666666666666666,-0.04766666666666666,-0.05533333333333333,10.944666666666667,
"(11, 14)",back,6-card Straight Flush,14,0.982089552238806,8,7.856716417910448,-0.012266666666666665,-0.0,-0.012266666666666665,7.844449751243781,
"(11, 14)",middle,6-card Straight Flush,14,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 13)",back,6-card Straight Flush,13,0.9863636363636363,8,7.890909090909091,-0.012266666666666665,-0.03573333333333333,-0.048,7.842909090909091,
"(11, 13)",middle,6-card Straight Flush,13,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 12)",back,6-card Straight Flush,12,0.9897435897435898,8,7.917948717948718,-0.012266666666666665,-0.0592,-0.07146666666666666,7.8464820512820515,
"(11, 12)",middle,6-card Straight Flush,12,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 11)",back,6-card Straight Flush,11,0.9862068965517241,8,7.889655172413793,-0.012266666666666665,-0.0904,-0.10266666666666666,7.786988505747126,
"(11, 11)",middle,6-card Straight Flush,11,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 10)",back,6-card Straight Flush,10,0.980722891566265,8,7.84578313253012,-0.012266666666666665,-0.1136,-0.12586666666666668,7.719916465863453,
"(11, 10)",middle,6-card Straight Flush,10,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 9)",back,6-card Straight Flush,9,0.9727272727272728,8,7.781818181818182,-0.012266666666666665,-0.13573333333333334,-0.14800000000000002,7.6338181818181825,
"(11, 9)",middle,6-card Straight Flush,9,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 8)",back,6-card Straight Flush,8,0.9727272727272728,8,7.781818181818182,-0.012266666666666665,-0.1592,-0.17146666666666668,7.610351515151516,
"(11, 8)",middle,6-card Straight Flush,8,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 7)",back,6-card Straight Flush,7,0.9701754385964912,8,7.76140350877193,-0.012266666666666665,-0.18266666666666667,-0.19493333333333335,7.566470175438597,
"(11, 7)",middle,6-card Straight Flush,7,1.0,16,16.0,-0.0,-0.0,-0.0,16.0,
"(11, 6)",back,6-card Straight Flush,6,0.9779816513761468,8,7.823853211009174,-0.012266666666666665,-0.21306666666666665,-0.22533333333333333,7.598519877675841,
"(11, 6)",middle,6-card Straight Flush,6,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 5)",back,6-card Straight Flush,5,0.9777109009996721,8,7.8216872079973765,0.0,0.0,0.12227475562241175,7.699412452374965,True
"(11, 5)",middle,6-card Straight Flush,5,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 4)",back,6-card Straight Flush,4,0.9780212129642177,8,7.824169703713742,0.0,0.0,0.12231356394457737,7.7018561397691645,True
"(11, 4)",middle,6-card Straight Flush,4,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 3)",back,6-card Straight Flush,3,0.9782568675989121,8,7.8260549407912965,0.0,0.0,0.12234303545076575,7.703711905340531,True
"(11, 3)",middle,6-card Straight Flush,3,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(11, 2)",back,6-card Straight Flush,2,0.9784397171122519,8,7.827517736898015,0.0,0.0,0.12236590302801797,7.705151833869997,True
"(11, 2)",middle,6-card Straight Flush,2,1.0,16,16.0,0.0,0.0,0.0,16.0,True
"(10, 14)",back,5 of a Kind,14,0.9532467532467532,6,5.71948051948052,-0.04253333333333335,-0.0,-0.04253333333333335,5.676947186147187,
"(10, 14)",middle,5 of a Kind,14,1.0,12,12.0,-6.666666666666667e-05,-0.0,-6.666666666666667e-05,11.999933333333333,
"(10, 13)",back,5 of a Kind,13,0.9609756097560975,6,5.765853658536585,-0.04253333333333335,-0.0154,-0.05793333333333335,5.7079203252032515,
"(10, 13)",middle,5 of a Kind,13,1.0,12,12.0,-6.666666666666667e-05,-0.0008,-0.0008666666666666667,11.999133333333333,
"(10, 12)",back,5 of a Kind,12,0.9388888888888889,6,5.633333333333333,-0.04253333333333335,-0.0318,-0.07433333333333335,5.558999999999999,
"(10, 12)",middle,5 of a Kind,12,1.0,12,12.0,-6.666666666666667e-05,-0.0012000000000000001,-0.0012666666666666668,11.998733333333334,
"(10, 11)",back,5 of a Kind,11,0.9411764705882353,6,5.647058823529411,-0.04253333333333335,-0.046200000000000005,-0.08873333333333336,5.5583254901960775,
"(10, 11)",middle,5 of a Kind,11,1.0,12,12.0,-6.666666666666667e-05,-0.0016,-0.0016666666666666668,11.998333333333333,
"(10, 10)",back,5 of a Kind,10,0.9436619718309859,6,5.661971830985915,-0.04253333333333335,-0.0632,-0.10573333333333335,5.556238497652582,
"(10, 10)",middle,5 of a Kind,10,1.0,12,12.0,0.0,0.0,0.002503030303028453,11.997496969696972,True
"(10, 9)",back,5 of a Kind,9,0.9593220338983051,6,5.755932203389831,-0.04253333333333335,-0.0774,-0.11993333333333334,5.635998870056498,
"(10, 9)",middle,5 of a Kind,9,1.0,12,12.0,-6.666666666666667e-05,-0.002,-0.0020666666666666667,11.997933333333334,
"(10, 8)",back,5 of a Kind,8,0.96,6,5.76,-0.04253333333333335,-0.0892,-0.13173333333333334,5.628266666666667,
"(10, 8)",middle,5 of a Kind,8,1.0,12,12.0,-6.666666666666667e-05,-0.0024000000000000002,-0.002466666666666667,11.997533333333333,
"(10, 7)",back,5 of a Kind,7,0.9493670886075949,6,5.69620253164557,-0.04253333333333335,-0.10419999999999999,-0.14673333333333333,5.549469198312236,
"(10, 7)",middle,5 of a Kind,7,1.0,12,12.0,-6.666666666666667e-05,-0.0028,-0.0028666666666666667,11.997133333333334,
"(10, 6)",back,5 of a Kind,6,0.9441176470588235,6,5.664705882352941,-0.04253333333333335,-0.12,-0.16253333333333334,5.502172549019607,
"(10, 6)",middle,5 of a Kind,6,1.0,12,12.0,0.0,0.0,0.002503030303028453,11.997496969696972,True
"(10, 5)",back,5 of a Kind,5,0.9461538461538461,6,5.676923076923076,-0.04253333333333335,-0.1336,-0.17613333333333334,5.500789743589743,
"(10, 5)",middle,5 of a Kind,5,1.0,12,12.0,-6.666666666666667e-05,-0.0032,-0.003266666666666667,11.996733333333333,
