position,hand_rank_tuple,wins,total_matchups,win_rate
front,"(9, 14, 13)",1,1,0.999000
front,"(9, 14, 5)",1,1,0.998990
front,"(9, 13, 12)",1,1,0.998000
front,"(9, 12, 11)",1,1,0.997000
front,"(9, 11, 10)",1,1,0.996000
front,"(9, 10, 9)",1,1,0.995000
front,"(9, 9, 8)",1,1,0.994000
front,"(9, 8, 7)",1,1,0.993000
front,"(9, 7, 6)",1,1,0.992000
front,"(9, 6, 5)",1,1,0.991000
front,"(9, 5, 4)",1,1,0.990000
front,"(8, 14, 13)",1,1,0.990000
front,"(8, 14, 12)",1,1,0.989930
front,"(8, 14, 11)",1,1,0.989860
front,"(8, 14, 10)",1,1,0.989790
front,"(8, 14, 9)",1,1,0.989720
front,"(8, 14, 8)",1,1,0.989650
front,"(8, 14, 7)",1,1,0.989580
front,"(8, 14, 6)",1,1,0.989510
front,"(8, 14, 5)",1,1,0.989441
front,"(8, 14, 4)",1,1,0.989371
front,"(8, 14, 3)",1,1,0.989301
front,"(8, 14, 2)",1,1,0.989231
front,"(8, 13, 14)",1,1,0.989167
front,"(8, 13, 12)",1,1,0.989097
front,"(8, 13, 11)",1,1,0.989027
front,"(8, 13, 10)",1,1,0.988957
front,"(8, 13, 9)",1,1,0.988887
front,"(8, 13, 8)",1,1,0.988817
front,"(8, 13, 7)",1,1,0.988747
front,"(8, 13, 6)",1,1,0.988677
front,"(8, 13, 5)",1,1,0.988607
front,"(8, 13, 4)",1,1,0.988537
front,"(8, 13, 3)",1,1,0.988467
front,"(8, 13, 2)",1,1,0.988397
front,"(8, 12, 14)",1,1,0.988333
front,"(8, 12, 13)",1,1,0.988263
front,"(8, 12, 11)",1,1,0.988193
front,"(8, 12, 10)",1,1,0.988124
front,"(8, 12, 9)",1,1,0.988054
front,"(8, 12, 8)",1,1,0.987984
front,"(8, 12, 7)",1,1,0.987914
front,"(8, 12, 6)",1,1,0.987844
front,"(8, 12, 5)",1,1,0.987774
front,"(8, 12, 4)",1,1,0.987704
front,"(8, 12, 3)",1,1,0.987634
front,"(8, 12, 2)",1,1,0.987564
front,"(8, 11, 14)",1,1,0.987500
front,"(8, 11, 13)",1,1,0.987430
front,"(8, 11, 12)",1,1,0.987360
