position,hand_rank_tuple,wins,total_matchups,win_rate
front,"(9, 14, 13)",1,1,0.999
front,"(9, 14, 5)",1,1,0.999
front,"(9, 13, 12)",1,1,0.998
front,"(9, 12, 11)",1,1,0.997
front,"(9, 11, 10)",1,1,0.996
front,"(9, 10, 9)",1,1,0.995
front,"(9, 9, 8)",1,1,0.994
front,"(9, 8, 7)",1,1,0.993
front,"(9, 7, 6)",1,1,0.992
front,"(9, 6, 5)",1,1,0.991
front,"(9, 5, 4)",1,1,0.990
front,"(8, 14, 13)",1,1,0.992
front,"(8, 14, 12)",1,1,0.992
front,"(8, 14, 11)",1,1,0.992
front,"(8, 14, 10)",1,1,0.992
front,"(8, 14, 9)",1,1,0.992
front,"(8, 14, 8)",1,1,0.992
front,"(8, 14, 7)",1,1,0.992
front,"(8, 14, 6)",1,1,0.992
front,"(8, 14, 5)",1,1,0.992
front,"(8, 14, 4)",1,1,0.992
front,"(8, 14, 3)",1,1,0.992
front,"(8, 14, 2)",1,1,0.992
front,"(8, 13, 14)",1,1,0.991
front,"(8, 13, 12)",1,1,0.991
front,"(8, 13, 11)",1,1,0.991
front,"(8, 13, 10)",1,1,0.991
front,"(8, 13, 9)",1,1,0.991
front,"(8, 13, 8)",1,1,0.991
front,"(8, 13, 7)",1,1,0.991
front,"(8, 13, 6)",1,1,0.991
front,"(8, 13, 5)",1,1,0.991
front,"(8, 13, 4)",1,1,0.991
front,"(8, 13, 3)",1,1,0.991
front,"(8, 13, 2)",1,1,0.991
front,"(8, 12, 14)",1,1,0.990
front,"(8, 12, 13)",1,1,0.990
front,"(8, 12, 11)",1,1,0.990
front,"(8, 12, 10)",1,1,0.990
front,"(8, 12, 9)",1,1,0.990
front,"(8, 12, 8)",1,1,0.990
front,"(8, 12, 7)",1,1,0.990
front,"(8, 12, 6)",1,1,0.990
front,"(8, 12, 5)",1,1,0.990
front,"(8, 12, 4)",1,1,0.990
front,"(8, 12, 3)",1,1,0.990
front,"(8, 12, 2)",1,1,0.990
front,"(8, 11, 14)",1,1,0.989
front,"(8, 11, 13)",1,1,0.989
front,"(8, 11, 12)",1,1,0.989
front,"(8, 11, 10)",1,1,0.989
front,"(8, 11, 9)",1,1,0.989
front,"(8, 11, 8)",1,1,0.989
front,"(8, 11, 7)",1,1,0.989
front,"(8, 11, 6)",1,1,0.989
front,"(8, 11, 5)",1,1,0.989
front,"(8, 11, 4)",1,1,0.989
front,"(8, 11, 3)",1,1,0.989
front,"(8, 11, 2)",1,1,0.989
front,"(8, 10, 14)",1,1,0.988
front,"(8, 10, 13)",1,1,0.988
front,"(8, 10, 12)",1,1,0.988
front,"(8, 10, 11)",1,1,0.988
front,"(8, 10, 9)",1,1,0.988
front,"(8, 10, 8)",1,1,0.988
front,"(8, 10, 7)",1,1,0.988
front,"(8, 10, 6)",1,1,0.988
front,"(8, 10, 5)",1,1,0.988
front,"(8, 10, 4)",1,1,0.988
front,"(8, 10, 3)",1,1,0.988
front,"(8, 10, 2)",1,1,0.988
front,"(8, 9, 14)",1,1,0.987
front,"(8, 9, 13)",1,1,0.987
front,"(8, 9, 12)",1,1,0.987
front,"(8, 9, 11)",1,1,0.987
front,"(8, 9, 10)",1,1,0.987
front,"(8, 9, 8)",1,1,0.987
front,"(8, 9, 7)",1,1,0.987
front,"(8, 9, 6)",1,1,0.987
front,"(8, 9, 5)",1,1,0.987
front,"(8, 9, 4)",1,1,0.987
front,"(8, 9, 3)",1,1,0.987
front,"(8, 9, 2)",1,1,0.987
front,"(8, 8, 14)",1,1,0.986
front,"(8, 8, 13)",1,1,0.986
front,"(8, 8, 12)",1,1,0.986
front,"(8, 8, 11)",1,1,0.986
front,"(8, 8, 10)",1,1,0.986
front,"(8, 8, 9)",1,1,0.986
front,"(8, 8, 7)",1,1,0.986
front,"(8, 8, 6)",1,1,0.986
front,"(8, 8, 5)",1,1,0.986
front,"(8, 8, 4)",1,1,0.986
front,"(8, 8, 3)",1,1,0.986
front,"(8, 8, 2)",1,1,0.986
front,"(8, 7, 14)",1,1,0.985
front,"(8, 7, 13)",1,1,0.985
front,"(8, 7, 12)",1,1,0.985
front,"(8, 7, 11)",1,1,0.985
front,"(8, 7, 10)",1,1,0.985
front,"(8, 7, 9)",1,1,0.985
front,"(8, 7, 8)",1,1,0.985
front,"(8, 7, 6)",1,1,0.985
front,"(8, 7, 5)",1,1,0.985
front,"(8, 7, 4)",1,1,0.985
front,"(8, 7, 3)",1,1,0.985
front,"(8, 7, 2)",1,1,0.985
front,"(8, 6, 14)",1,1,0.984
front,"(8, 6, 13)",1,1,0.984
front,"(8, 6, 12)",1,1,0.984
front,"(8, 6, 11)",1,1,0.984
front,"(8, 6, 10)",1,1,0.984
front,"(8, 6, 9)",1,1,0.984
front,"(8, 6, 8)",1,1,0.984
front,"(8, 6, 7)",1,1,0.984
front,"(8, 6, 5)",1,1,0.984
front,"(8, 6, 4)",1,1,0.984
front,"(8, 6, 3)",1,1,0.984
front,"(8, 6, 2)",1,1,0.984
front,"(8, 5, 14)",1,1,0.983
front,"(8, 5, 13)",1,1,0.983
front,"(8, 5, 12)",1,1,0.983
front,"(8, 5, 11)",1,1,0.983
front,"(8, 5, 10)",1,1,0.983
front,"(8, 5, 9)",1,1,0.983
front,"(8, 5, 8)",1,1,0.983
front,"(8, 5, 7)",1,1,0.983
front,"(8, 5, 6)",1,1,0.983
front,"(8, 5, 4)",1,1,0.983
front,"(8, 5, 3)",1,1,0.983
front,"(8, 5, 2)",1,1,0.983
front,"(8, 4, 14)",1,1,0.982
front,"(8, 4, 13)",1,1,0.982
front,"(8, 4, 12)",1,1,0.982
front,"(8, 4, 11)",1,1,0.982
front,"(8, 4, 10)",1,1,0.982
front,"(8, 4, 9)",1,1,0.982
front,"(8, 4, 8)",1,1,0.982
front,"(8, 4, 7)",1,1,0.982
front,"(8, 4, 6)",1,1,0.982
front,"(8, 4, 5)",1,1,0.982
front,"(8, 4, 3)",1,1,0.982
front,"(8, 4, 2)",1,1,0.982
front,"(8, 3, 14)",1,1,0.981
front,"(8, 3, 13)",1,1,0.981
front,"(8, 3, 12)",1,1,0.981
front,"(8, 3, 11)",1,1,0.981
front,"(8, 3, 10)",1,1,0.981
front,"(8, 3, 9)",1,1,0.981
front,"(8, 3, 8)",1,1,0.981
front,"(8, 3, 7)",1,1,0.981
front,"(8, 3, 6)",1,1,0.981
front,"(8, 3, 5)",1,1,0.981
front,"(8, 3, 4)",1,1,0.981
front,"(8, 3, 2)",1,1,0.981
front,"(8, 2, 14)",1,1,0.980
front,"(8, 2, 13)",1,1,0.980
front,"(8, 2, 12)",1,1,0.980
front,"(8, 2, 11)",1,1,0.980
front,"(8, 2, 10)",1,1,0.980
front,"(8, 2, 9)",1,1,0.980
front,"(8, 2, 8)",1,1,0.980
front,"(8, 2, 7)",1,1,0.980
front,"(8, 2, 6)",1,1,0.980
front,"(8, 2, 5)",1,1,0.980
front,"(8, 2, 4)",1,1,0.980
front,"(8, 2, 3)",1,1,0.980
front,"(7, 14, 2)",1,1,0.982
front,"(7, 14, 3)",1,1,0.982
front,"(7, 14, 4)",1,1,0.982
front,"(7, 14, 5)",1,1,0.982
front,"(7, 14, 6)",1,1,0.982
front,"(7, 14, 7)",1,1,0.982
front,"(7, 14, 8)",1,1,0.982
front,"(7, 14, 9)",1,1,0.982
front,"(7, 14, 10)",1,1,0.982
front,"(7, 14, 11)",1,1,0.982
front,"(7, 14, 12)",1,1,0.982
front,"(7, 14, 13)",1,1,0.982
front,"(7, 13, 2)",1,1,0.981
front,"(7, 13, 3)",1,1,0.981
front,"(7, 13, 4)",1,1,0.981
front,"(7, 13, 5)",1,1,0.981
front,"(7, 13, 6)",1,1,0.981
front,"(7, 13, 7)",1,1,0.981
front,"(7, 13, 8)",1,1,0.981
front,"(7, 13, 9)",1,1,0.981
front,"(7, 13, 10)",1,1,0.981
front,"(7, 13, 11)",1,1,0.981
front,"(7, 13, 12)",1,1,0.981
front,"(7, 13, 14)",1,1,0.981
front,"(7, 12, 2)",1,1,0.980
front,"(7, 12, 3)",1,1,0.980
front,"(7, 12, 4)",1,1,0.980
front,"(7, 12, 5)",1,1,0.980
front,"(7, 12, 6)",1,1,0.980
front,"(7, 12, 7)",1,1,0.980
front,"(7, 12, 8)",1,1,0.980
